gx, gy, speedX, speedY, speedZ
-17.00, -3.00, 0.09, 0.58, -0.68
-17.00, -1.00, 0.20, 0.48, -0.68
-17.00, 1.00, 0.48, 0.20, -0.68
-17.00, 3.00, 0.58, 0.09, -0.68
-17.00, 5.00, 0.66, 0.02, -0.68
-17.00, 7.00, 0.71, -0.04, -0.68
-17.00, 9.00, 0.76, -0.09, -0.68
-17.00, 11.00, 0.81, -0.13, -0.68
-17.00, 13.00, 0.85, -0.17, -0.68
-17.00, 15.00, 0.89, -0.21, -0.68
-17.00, 17.00, 0.92, -0.25, -0.68
-17.00, 19.00, 0.96, -0.28, -0.68
-17.00, 21.00, 0.97, -0.30, -0.68
-17.00, 23.00, 0.97, -0.30, -0.68
-15.00, -25.00, -0.32, 0.95, -0.64
-15.00, -23.00, -0.32, 0.95, -0.64
-15.00, -21.00, -0.32, 0.95, -0.64
-15.00, -19.00, -0.30, 0.94, -0.64
-15.00, -17.00, -0.27, 0.90, -0.64
-15.00, -15.00, -0.23, 0.87, -0.64
-15.00, -13.00, -0.19, 0.83, -0.64
-15.00, -11.00, -0.15, 0.79, -0.64
-15.00, -9.00, -0.11, 0.74, -0.64
-15.00, -7.00, -0.06, 0.69, -0.64
-15.00, -5.00, -0.00, 0.64, -0.64
-15.00, -3.00, 0.07, 0.56, -0.64
-15.00, -1.00, 0.18, 0.46, -0.64
-15.00, 1.00, 0.46, 0.18, -0.64
-15.00, 3.00, 0.56, 0.07, -0.64
-15.00, 5.00, 0.64, -0.00, -0.64
-15.00, 7.00, 0.69, -0.06, -0.64
-15.00, 9.00, 0.74, -0.11, -0.64
-15.00, 11.00, 0.79, -0.15, -0.64
-15.00, 13.00, 0.83, -0.19, -0.64
-15.00, 15.00, 0.87, -0.23, -0.64
-15.00, 17.00, 0.90, -0.27, -0.64
-15.00, 19.00, 0.94, -0.30, -0.64
-15.00, 21.00, 0.95, -0.32, -0.64
-15.00, 23.00, 0.95, -0.32, -0.64
-13.00, -25.00, -0.34, 0.93, -0.59
-13.00, -23.00, -0.34, 0.93, -0.59
-13.00, -21.00, -0.34, 0.93, -0.59
-13.00, -19.00, -0.32, 0.91, -0.59
-13.00, -17.00, -0.29, 0.88, -0.59
-13.00, -15.00, -0.25, 0.85, -0.59
-13.00, -13.00, -0.22, 0.81, -0.59
-13.00, -11.00, -0.18, 0.77, -0.59
-13.00, -9.00, -0.13, 0.72, -0.59
-13.00, -7.00, -0.08, 0.67, -0.59
-13.00, -5.00, -0.02, 0.61, -0.59
-13.00, -3.00, 0.05, 0.54, -0.59
-13.00, -1.00, 0.15, 0.44, -0.59
-13.00, 1.00, 0.44, 0.15, -0.59
-13.00, 3.00, 0.54, 0.05, -0.59
-13.00, 5.00, 0.61, -0.02, -0.59
-13.00, 7.00, 0.67, -0.08, -0.59
-13.00, 9.00, 0.72, -0.13, -0.59
